131016  1:42:21	    7 Query	SHOW FULL TABLES FROM `TBI` LIKE 'GNG'
		    8 Query	SELECT * FROM TBI.TMaze
		    8 Query	SHOW KEYS FROM `TBI`.`TMaze`
		    8 Query	SHOW DATABASES LIKE 'TBI'
		    8 Query	SHOW TABLES FROM `tbi` LIKE 'TMaze'
		    8 Query	SELECT * FROM `tbi`.`tmaze` WHERE 0=1
		    8 Query	SHOW FULL COLUMNS FROM `tbi`.`tmaze` LIKE 'AID'
		    8 Query	SHOW DATABASES LIKE 'TBI'
		    8 Query	SHOW TABLES FROM `tbi` LIKE 'TMaze'
		    8 Query	SELECT * FROM `tbi`.`tmaze` WHERE 0=1
		    8 Query	SHOW FULL COLUMNS FROM `tbi`.`tmaze` LIKE 'TestDate'
		    8 Query	SHOW DATABASES LIKE 'TBI'
		    8 Query	SHOW TABLES FROM `tbi` LIKE 'TMaze'
		    8 Query	SELECT * FROM `tbi`.`tmaze` WHERE 0=1
		    8 Query	SHOW FULL COLUMNS FROM `tbi`.`tmaze` LIKE 'TrialNum'
		    7 Query	SHOW FULL TABLES FROM `TBI` LIKE 'Weight'
		    7 Query	SHOW FULL COLUMNS FROM `TBI`.`Weight`
		    8 Query	SELECT * FROM TBI.Weight
		    8 Query	SHOW KEYS FROM `TBI`.`Weight`
		    8 Query	SHOW DATABASES LIKE 'TBI'
		    8 Query	SHOW TABLES FROM `tbi` LIKE 'Weight'
		    8 Query	SELECT * FROM `tbi`.`weight` WHERE 0=1
		    8 Query	SHOW FULL COLUMNS FROM `tbi`.`weight` LIKE 'AID'
		    8 Query	SHOW DATABASES LIKE 'TBI'
		    8 Query	SHOW TABLES FROM `tbi` LIKE 'Weight'
		    8 Query	SELECT * FROM `tbi`.`weight` WHERE 0=1
		    8 Query	SHOW FULL COLUMNS FROM `tbi`.`weight` LIKE 'WeightDate'
